福利,工作标签,城市,学历,工作年限,薪资,公司名称
['脚本'],本科,上海,上海海万信息科技股份有限公司,3-5年,8k-16k,"五险一金,旅游、体检,生日礼金,过节福利"
"['信息安全', '大数据', '白盒测试', '灰盒测试', '性能测试']",大专,杭州,北京网思科平科技有限公司,1-3年,10k-20k,"五险一金,餐补,节日福利,年终奖"
"['Selenium', '功能测试']",本科,北京,北京沃丰时代数据科技有限公司,3-5年,15k-25k,"高成长,团队强悍"
['脚本'],本科,深圳,深圳市引导美电子商务有限公司,3-5年,10k-20k,"五险一金,周末双休,扁平化管理,弹性时间"
"['功能测试', '性能测试', '白盒测试']",本科,上海,上海泛微网络科技股份有限公司,3-5年,10k-15k,"上市公司,免费班车,五险一金,周末双休"
"['Android测试', 'IOS测试', 'app测试']",大专,北京,北京千橡网景科技发展有限公司,3-5年,15k-20k,"领导好,弹性工作"
['软件测试'],本科,上海,上海坤亿信息技术有限公司,3-5年,15k-20k,"500强,弹性工作制,福利待遇好,有转正机会"
[],本科,上海,智慧芽信息科技（苏州）有限公司,3-5年,15k-20k,"弹性工作,发展空间大,外资企业"
['脚本'],大专,上海,上海舟恩信息技术有限公司,1-3年,8k-16k,"带薪年假,晋升空间大"
['Python'],本科,上海,上海驿氪信息科技有限公司,5-10年,18k-25k,"工作氛围好,弹性时间,人性化,发展空间大"
"['Selenium', 'Jmeter']",本科,北京,哈弗汽车租赁有限公司,3-5年,15k-25k,"五险一金,弹性工作,成长空间,行业大牛"
"['金融', '脚本']",本科,北京,北京弥财投资咨询有限公司,3-5年,20k-35k,"技术大牛,弹性工作,外企文化,扁平管理"
[],本科,北京,北京默契破冰科技有限公司,1-3年,15k-25k,"七险一金,独立健身房,免费午餐,弹性不打卡"
[],本科,天津,天津市神州商龙科技股份有限公司,3-5年,10k-15k,研发氛围，福利待遇，上升空间
工作标签,学历,城市,公司名称,工作年限,薪资,福利
"['客户端', '脚本', '测试开发']",本科,北京,上海捷科智诚科技有限公司,3-5年,9k-13k,"丰厚的报酬,光明的前景,优厚的福利,融洽的氛围"
['Selenium'],本科,上海,上海海万信息科技股份有限公司,1-3年,10k-11k,"旅游,体检,过节费,年终奖"
"['Web测试', '白盒测试']",本科,上海,上海泛微网络科技股份有限公司,3-5年,15k-25k,年底奖金；发展空间；免费三餐
"['测试开发', 'IOS测试', 'Android测试']",本科,上海,恩富软件（中国）有限公司,1-3年,9k-13k,"测试开发,外企氛围,学习机会,团队合作"
['app测试'],大专,上海,毅诺网络科技（上海）有限公司,3-5年,12k-16k,"定期团建,节日福利,零食下午茶,五险一金"
[],本科,深圳,深圳市金证科技股份有限公司,1-3年,9k-13k,"金融,上市"
[],本科,西安,西安艾润物联网技术服务有限责任公司,3-5年,8k-15k,"五险一金,节日福利,法定节假日,餐补"
[],本科,上海,上海幻电信息科技有限公司,3-5年,8k-15k,90后最喜欢的弹幕网之一
"['电商', '测试开发', '性能测试']",本科,北京,珠海随变科技有限公司,5-10年,15k-30k,"盈利平台,首家C2M,技术分享,活跃团队"
"['互联网金融', '银行', 'Web测试', 'Selenium', '功能测试']",本科,杭州,道富信息科技浙江有限公司,1-3年,8k-12k,"优秀团队,英语工作"
['脚本'],本科,北京,北京千橡网景科技发展有限公司,3-5年,15k-30k,"氛围好,弹性工作"
['脚本'],本科,上海,深圳平安综合金融服务有限公司,3-5年,15k-30k,福利待遇佳
[],本科,北京,北京作业盒子科技有限公司,3-5年,18k-36k,年底多薪
"['金融', '移动互联网', 'Web测试', '移动端']",本科,深圳,深圳市佰仟金融服务有限公司,3-5年,15k-20k,"公司平台大,福利多多"
"['电商', '新零售', 'Android测试', 'IOS测试']",本科,上海,上海砸立电子商务有限公司,3-5年,10k-20k,"五险一金,年薪双薪"
工作标签,学历,城市,公司名称,工作年限,薪资,福利
"['理财', 'Jmeter', '性能测试']",本科,深圳,上海海万信息科技股份有限公司,3-5年,10k-15k,"年终奖,旅游,双休,体检"
['性能测试'],本科,杭州,道富信息科技浙江有限公司,5-10年,15k-20k,稳定的发展空间，告别996模式
['Selenium'],大专,成都,壹玖壹玖酒类平台科技股份有限公司,3-5年,10k-20k,"周末双休,五险一金,地铁周边"
"['脚本', '功能测试', '测试开发']",大专,北京,北京崔玉涛儿童健康管理中心有限公司,3-5年,15k-25k,"六险一金,扁平管理,弹性工作,前景广阔"
[],本科,厦门,厦门美柚信息科技有限公司,1-3年,8k-15k,"测试,开发"
['脚本'],本科,北京,银客未来科技（北京）有限公司,3-5年,15k-25k,"七险一金,绩效奖金,员工福利,弹性工作"
['智能硬件'],大专,上海,上海映春智能科技有限公司,1-3年,5k-8k,福利好，发展空间大
[],大专,珠海,北京金山软件有限公司,3-5年,15k-30k,"海景办公,免费三餐,六险一金,福利优"
[],本科,深圳,北京市商汤科技开发有限公司,5-10年,10k-20k,"人工智能,福利好,技术大牛多,弹性工作"
['Web测试'],本科,北京,北京轻松筹网络科技有限公司,3-5年,15k-30k,"五险一金,绩效奖金,技术大咖"
['脚本'],本科,北京,你好世界（北京）科技有限公司,1-3年,15k-25k,"团队氛围好,进步空间大,项目有发展,测试负责人"
[],大专,北京,广东一一五科技股份有限公司,1-3年,10k-15k,五险一金
"['游戏', '脚本']",大专,武汉,武汉格事化信息技术有限公司,3-5年,8k-15k,"五险一金,骨干齐全"
[],本科,北京,北京多来点信息技术有限公司,1-3年,15k-25k,五险一金 年终奖金 带薪年假 节日福利
"['其他', 'Selenium']",本科,杭州,杭州睿拓智能科技有限公司,1-3年,13k-20k,"AI,自动化测试"
工作标签,学历,城市,公司名称,工作年限,薪资,福利
['银行'],本科,上海,上海海万信息科技股份有限公司,5-10年,17k-18k,大平台
"['功能测试', '性能测试']",本科,北京,北京市商汤科技开发有限公司,1-3年,20k-40k,"AI独角兽,公司前景好"
[],大专,长沙,长沙蜜獾信息科技有限公司,不限,5k-8k,五险一金 交通补助 餐补
[],大专,杭州,武汉佰钧成技术有限责任公司,1-3年,10k-15k,善于沟通
[],本科,北京,启迪云控（北京）科技有限公司,3-5年,15k-25k,"带薪年假,年底双薪,弹性工作,八险一金"
[],本科,北京,北京长亭科技有限公司,1-3年,15k-25k,"带薪年假,工作餐,年底多薪,五险一金"
[],大专,南京,江苏润和软件股份有限公司,1-3年,8k-16k,"福利全,薪资高,管理规范,环境优美"
"['移动互联网', '脚本']",大专,郑州,郑州时空隧道信息技术有限公司,3-5年,8k-12k,"股份期权,带薪年假,节日福利,五险一金"
[],本科,广州,上海华钦信息科技股份有限公司,3-5年,8k-16k,外企氛围好
['金融'],本科,北京,上海捷科智诚科技有限公司,1年以下,4k-6k,"工作环境好,金融行业,测试技术,自动化"
['脚本'],本科,北京,北京首汽智行科技有限公司,5-10年,20k-30k,"发展前景好,平台稳定,领导好,互联网文化"
"['游戏', '脚本']",大专,武汉,武汉格事化信息技术有限公司,5-10年,8k-15k,"骨干齐全,扁平化"
"['数据库', 'Android测试', 'Selenium']",本科,深圳,深圳市金证科技股份有限公司,3-5年,10k-20k,"上市公司,员工旅游,通讯补贴,员工体检"
"['电商', '移动互联网', '移动端', 'Selenium']",本科,上海,上海舟恩信息技术有限公司,3-5年,8k-16k,"技术大牛多,发展空间大,大型项目,节日福利"
[],大专,大连,大连华信计算机技术股份有限公司,1-3年,6k-10k,六险一金
工作标签,学历,城市,公司名称,工作年限,薪资,福利
"['脚本', '功能测试', '性能测试']",本科,上海,武汉佰钧成技术有限责任公司,3-5年,12k-24k,"外企环境,前沿技术,弹性工作,不加班"
"['游戏', '脚本']",大专,武汉,武汉格事化信息技术有限公司,3-5年,8k-15k,骨干期权
[],本科,上海,鼎必程（上海）信息技术有限公司,1年以下,8k-15k,"技术大牛,弹性工作制,免费班车,无限零食"
['脚本'],本科,上海,前海煦逸信息技术（深圳）有限公司,3-5年,15k-25k,"带薪年假多,期权,弹性办公,跨境电商"
[],本科,北京,深圳市金证科技股份有限公司,3-5年,10k-11k,"五险一金,年度旅游,年度意见"
['脚本'],大专,上海,上海海万信息科技股份有限公司,3-5年,7k-13k,"旅游,体检,过节费,年终奖"
['脚本'],本科,厦门,厦门美柚信息科技有限公司,3-5年,10k-20k,"团队氛围好,发展空间大,技术成长快"
['功能测试'],本科,北京,北京福佑多多信息技术有限公司,3-5年,10k-20k,"七险一金,绩效奖金,年底双薪,节日福利等"
[],本科,上海,上海业霆网络科技有限公司,3-5年,20k-30k,"团队好,氛围好,福利好"
[],本科,北京,北京三快在线科技有限公司,3-5年,35k-45k,"五险一金,带薪年假,超值期权,大牛团队"
"['移动端', '脚本']",本科,南京,北京小米科技有限责任公司,3-5年,10k-20k,"超赞团队,大平台,扁平管理"
['金融'],本科,北京,上海捷科智诚科技有限公司,1-3年,7k-14k,"五险一金,带薪年假"
"['IOS测试', 'Android测试']",本科,北京,北京四方启点科技有限公司,1年以下,17k-25k,"福利好,待遇佳,地铁周边"
[],本科,北京,北京快如科技有限公司,5-10年,15k-25k,"六险一金,福利超多,技术大牛,氛围好"
"['脚本', '功能测试', '软件测试']",本科,上海,上海沃易智电子商务有限公司,3-5年,12k-20k,"弹性工作,技术大牛多,探讨氛围浓,产品优秀"
工作标签,学历,城市,公司名称,工作年限,薪资,福利
"['通信/网络设备', 'Web测试', '脚本', '测试开发']",本科,上海,武汉佰钧成技术有限责任公司,1-3年,11k-22k,"五险一金,商业保险,不加班,不打卡"
['脚本'],大专,北京,北京田米科技有限公司,不限,18k-36k,"空间大,弹性上班,薪资高,福利好"
[],本科,深圳,深圳市金证科技股份有限公司,3-5年,12k-20k,"金融,上市"
[],本科,杭州,北京伊电园网络科技有限公司,3-5年,15k-30k,发展好
['脚本'],本科,成都,四川长虹电器股份有限公司,3-5年,8k-15k,五险一金
"['信息安全', '金融', '脚本']",本科,上海,上海诺诺镑客金融信息服务有限公司,3-5年,15k-25k,"工资自己开,半年晋升,发展空间大"
[],本科,杭州,道富信息科技浙江有限公司,3-5年,12K-20K,国际化办公环境，弹性工作
"['互联网金融', '证券/期货', '数据库', '脚本', '测试开发']",本科,上海,杭州端趣网络科技有限公司,5-10年,9k-18k,"加班调休,固定双休,三节福利"
"['大数据', '教育']",本科,北京,北京修齐治平科技有限公司,3-5年,15k-30k,"带薪年假,五险一金,饭补"
[],本科,深圳,深圳云天励飞技术有限公司,3-5年,10k-18k,水果零食、公司旅游、年终奖、六险一金
"['医疗健康', '脚本']",本科,南京,江苏艾佳家居用品有限公司,3-5年,10k-20k,"初创公司,待遇优厚,空间巨大,双休"
[],本科,上海,上海成龙五谷信息科技有限公司,3-5年,10k-20k,"年底多薪,每年涨薪"
"['电商', '新零售', 'Android测试', 'IOS测试']",本科,上海,上海砸立电子商务有限公司,1-3年,7k-14k,"五险一金,年薪双薪"
[],本科,上海,上海爱可生信息技术股份有限公司,3-5年,10k-20k,新三板 年终奖 公司内健身区咖吧 各种团建
['脚本'],本科,上海,上海业霆网络科技有限公司,3-5年,13k-20k,扁平化管理
工作标签,学历,城市,公司名称,工作年限,薪资,福利
['脚本'],本科,北京,北京田米科技有限公司,3-5年,25k-45k,"薪酬高,环境好,福利好"
[],本科,深圳,深圳市金证科技股份有限公司,1-3年,10k-16k,"金融,上市"
[],本科,武汉,武汉佰钧成技术有限责任公司,3-5年,8k-16k,"六险一金,工作平台好,六险一金,可观的收入"
['Selenium'],本科,成都,四川海德智和科技有限公司,5-10年,10k-20k,职业发展空间大
['脚本'],大专,北京,随行付支付有限公司,3-5年,12k-20k,"上升空间大,金融牌照,支付牌照,福利待遇好"
"['功能测试', '性能测试', 'Jmeter']",本科,北京,智慧互通科技有限公司,3-5年,10k-18k,"6险1金,交通补助,话费补助,弹性工作"
"['功能测试', '性能测试', '测试开发']",本科,北京,北京多点在线科技有限公司,3-5年,15k-25k,"技术大牛,气氛活跃,福利多多,弹性工作"
[],本科,上海,上海海万信息科技股份有限公司,1-3年,8k-15k,"五险一金,旅游、体检,过节福利,生日礼金"
"['Web测试', '脚本']",本科,成都,上海易宝软件有限公司,1-3年,8k-16k,"零食多,团建活动,领导好,周末双休"
"['金融', '功能测试', '性能测试']",大专,上海,深圳市拓保软件有限公司上海分公司,3-5年,9K-18K,"五险一金,大平台,带薪年假"
['脚本'],本科,上海,瞬联软件科技（北京）有限公司,不限,10k-18k,"五险一金,弹性工作,晋升空间大,带薪年假"
['电商'],本科,上海,上海河姆渡实业发展有限公司,5-10年,15k-20k,"节日福利,晋升空间,互联网氛围"
"['Android测试', 'IOS测试']",本科,北京,北京市商汤科技开发有限公司,3-5年,25k-40k,"大牛多,氛围好,发展快"
['脚本'],本科,北京,北京智齿博创科技有限公司,3-5年,18k-25k,"五险一金,带薪年假,弹性工作"
"['Loadrunner', '性能测试']",本科,北京,北京国双科技有限公司,3-5年,15k-25k,"大数据行业,上市公司,福利待遇好"
工作标签,学历,城市,公司名称,工作年限,薪资,福利
['脚本'],本科,成都,四川海德智和科技有限公司,1-3年,6k-10k,"发展大,扁平化,福利好,带薪年假"
"['黑盒测试', 'app测试', 'Web测试']",本科,杭州,武汉佰钧成技术有限责任公司,3-5年,10k-15k,"五险一金,周末双休,节日福利"
